Data;CorrecaoMonetaria;Selic;JurosPoupanca;SelicAcumulada
01/01/2014;1,5937358097;0,85;0,5;0,85
01/02/2014;1,5831288464;0,79;0,5;1,64
01/03/2014;1,5721239785;0,77;0,5;2,4
01/04/2014;1,5607306448;0,82;0,5;3,22
01/05/2014;1,5486511657;0,87;0,5;4,08
01/06/2014;1,5397207852;0,82;0,5;4,9
01/07/2014;1,5325179508;0,95;0,5;5,84
01/08/2014;1,5299170918;0,87;0,5;6,7
01/09/2014;1,5277782023;0,91;0,5;7,6
01/10/2014;1,5218430145;0,95;0,5;8,54
01/11/2014;1,5145730638;0,84;0,5;9,37
01/12/2014;1,5088394738;0,96;0,5;10,32
01/01/2015;1,4970130706;0,94;0,5;11,25
01/02/2015;1,4838071866;0,82;0,5;12,07
01/03/2015;1,4643315766;1,04;0,5;13,1
01/04/2015;1,4463962630;0,95;0,5;14,05
01/05/2015;1,4310836677;0,99;0,5;15,03
01/06/2015;1,4225483775;1,07;0,5;16,09
01/07/2015;1,4086032057;1,18;0,5;17,26
01/08/2015;1,4003411927;1,11;0,5;18,36
01/09/2015;1,3943455070;1,11;0,5;19,46
01/10/2015;1,3889286851;1,11;0,5;20,56
01/11/2015;1,3798218608;1,06;0,5;21,61
01/12/2015;1,3681922269;1,16;0,5;22,76
01/01/2016;1,3522358440;1,06;0,5;23,81
01/02/2016;1,3399086841;1;0,5;24,81
01/03/2016;1,3211483771;1,16;0,5;25,96
01/04/2016;1,3154917625;1,06;0,5;27,01
01/05/2016;1,3088167969;1,11;0,5;28,11
01/06/2016;1,2976569471;1,16;0,5;29,26
01/07/2016;1,2924869991;1,11;0,5;30,36
01/08/2016;1,2855450558;1,22;0,5;31,57
01/09/2016;1,2797860187;1,11;0,5;32,67
01/10/2016;1,2768492654;1,05;0,5;33,71
01/11/2016;1,2744278525;1,04;0,5;34,74
01/12/2016;1,2711229329;1,12;0,5;35,85
01/01/2017;1,2687123794;1,09;0,5;36,93
01/02/2017;1,2647915256;0,87;0,5;37,79
01/03/2017;1,2579983346;1,05;0,5;38,83
01/04/2017;1,2561141634;0,79;0,5;39,61
01/05/2017;1,2534818515;0,93;0,5;40,53
01/06/2017;1,2504806978;0,81;0,5;41,33
01/07/2017;1,2484831248;0,8;0,5;42,12
01/08/2017;1,2507344468;0,8;0,5;42,92
01/09/2017;1,2463721443;0,64;0,4693;43,56
01/10/2017;1,2450026414;0,64;0,4693;44,19
01/11/2017;1,2407839759;0,57;0,4325;44,75
01/12/2017;1,2368261323;0,54;0,409;45,28
01/01/2018;1,2325123391;0,58;0,409;45,85
01/02/2018;1,2277242146;0,47;0,3972;46,31
01/03/2018;1,2230765239;0,53;0,3855;46,83
01/04/2018;1,2218546692;0,52;0,3715;47,34
01/05/2018;1,2192941515;0,52;0,3715;47,85
01/06/2018;1,2175895261;0,52;0,3715;48,36
01/07/2018;1,2042226547;0,54;0,3715;48,89
01/08/2018;1,1965646410;0,57;0,3715;49,45
01/09/2018;1,1950111265;0,47;0,3715;49,91
01/10/2018;1,1939365836;0,54;0,3715;50,44
01/11/2018;1,1870516838;0,49;0,3715;50,93
01/12/2018;1,1848005627;0,49;0,3715;51,42
01/01/2019;1,1866992816;0,54;0,3715;51,96
01/02/2019;1,1831498321;0,49;0,3715;52,45
01/03/2019;1,1791407535;0,47;0,3715;52,91
01/04/2019;1,1728075925;0,52;0,3715;53,42
01/05/2019;1,1644237416;0,54;0,3715;53,96
01/06/2019;1,1603624729;0,47;0,3715;54,42
01/07/2019;1,1596666729;0,57;0,3715;54,98
01/08/2019;1,1586239114;0,5;0,35;55,48
01/09/2019;1,1576977532;0,46;0,323;55,94
01/10/2019;1,1566567621;0,48;0,2908;56,42
01/11/2019;1,1556167071;0,38;0,2637;56,79
01/12/2019;1,1540011055;0,37;0,2339;57,16
01/01/2020;1,1420100005;0,38;0,2339;57,53
01/02/2020;1,1339588924;0,29;0,217;57,82
01/03/2020;1,1314696592;0,34;0,1831;58,15
01/04/2020;1,1312434105;0,28;0,1831;58,43
01/05/2020;1,1313565461;0,24;0,149;58,66
01/06/2020;1,1380711660;0,21;0,1319;58,86
01/07/2020;1,1378435973;0,19;0,1319;59,05
01/08/2020;1,1344402765;0,16;0,1164;59,2
01/09/2020;1,1318370512;0,16;0,1164;59,35
01/10/2020;1,1267666015;0,16;0,1164;59,5
01/11/2020;1,1162736294;0,15;0,1164;59,64
01/12/2020;1,1073044633;0,16;0,1164;59,8
01/01/2021;1,0956901477;0,15;0,1164;59,94
01/02/2021;1,0872099104;0,13;0,1164;60,07
01/03/2021;1,0820162325;0,2;0,1164;60,26
01/04/2021;1,0720462028;0,21;0,1579;60,46
01/05/2021;1,0656522891;0,27;0,2035;60,72
01/06/2021;1,0609839596;0,31;0,2442;61,02
01/07/2021;1,0522502823;0,36;0,2442;61,37
01/08/2021;1,0447282390;0,43;0,3026;61,79
01/09/2021;1,0355121806;0,44;0,3026;62,22
01/10/2021;1,0238404000;0,49;0,3564;62,71
01/11/2021;1,0117000000;0,59;0,4438;63,3
01/12/2021;1,0000000000;0,77;0;64,06
01/01/2022;1,0000000000;0,73;0;64,79
01/02/2022;1,0000000000;0,76;0;65,54
01/03/2022;1,0000000000;0,93;0;66,46
01/04/2022;1,0000000000;0,83;0;67,29
01/05/2022;1,0000000000;1,03;0;68,32
01/06/2022;1,0000000000;1,02;0;69,33
01/07/2022;1,0000000000;1,03;0;70,36
01/08/2022;1,0000000000;1,17;0;71,52
01/09/2022;1,0000000000;1,07;0;72,59
01/10/2022;1,0000000000;1,02;0;73,6
01/11/2022;1,0000000000;1,02;0;74,62
01/12/2022;1,0000000000;1,12;0;75,74
01/01/2023;1,0000000000;1,12;0;76,86
01/02/2023;1,0000000000;0,92;0;77,77
01/03/2023;1,0000000000;1,17;0;78,93
01/04/2023;1,0000000000;0,92;0;79,84
01/05/2023;1,0000000000;1,12;0;80,96
01/06/2023;1,0000000000;1,07;0;82,03
01/07/2023;1,0000000000;1,07;0;83,09
01/08/2023;1,0000000000;1,14;0;84,22
01/09/2023;1,0000000000;0,97;0;85,19
01/10/2023;1,0000000000;1;0;86,18
01/11/2023;1,0000000000;0,92;0;87,09
01/12/2023;1,0000000000;0,89;0;87,98
01/01/2024;1,0000000000;0,97;0;88,94
01/02/2024;1,0000000000;0,8;0;89,73
01/03/2024;1,0000000000;0,83;0;90,55
01/04/2024;1,0000000000;0,89;0;91,43
01/05/2024;1,0000000000;0,83;0;92,25
01/06/2024;1,0000000000;0,79;0;93,03
01/07/2024;1,0000000000;0,91;0;93,93
01/08/2024;1,0000000000;0,87;0;94,79
01/09/2024;1,0000000000;0,84;0;95,62
01/10/2024;1,0000000000;0,93;0;96,54
01/11/2024;1,0000000000;0,79;0;97,4
01/12/2024;1,0000000000;0,93;0;98,36
01/01/2025;1,0000000000;1,01;0;99,37
01/02/2025;1,0000000000;0,99;0;100,36
01/03/2025;1,0000000000;0,96;0;101,32
01/04/2025;1,0000000000;1,06;0;102,38
01/05/2025;1,0000000000;1,14;0;103,52
01/06/2025;1,0000000000;1,1;0;104,62
01/07/2025;1,0000000000;1,28;0;105,9
01/08/2025;1,0000000000;1,16;0;107,06
01/09/2025;1,0000000000;1,22;0;108,28
01/10/2025;1,0000000000;1,28;0;109,56
01/11/2025;1,0000000000;1,05;0;110,61
